replace_type,top_fraction,embedding_dim,hidden_dim,context_window,replace_frac,loss
True,0.01,64,128,6,0.1,4.911178480400811
True,0.01,64,128,6,0.05,5.095118411510461
True,0.01,64,128,6,0.01,5.4085928977387825
True,0.01,64,128,3,0.1,4.966786976998604
True,0.01,64,128,3,0.05,5.10491084993219
True,0.01,64,128,3,0.01,5.418910776035173
True,0.01,64,128,1,0.1,4.944359257178251
True,0.01,64,128,1,0.05,5.028331945667065
True,0.01,64,128,1,0.01,5.262561850254398
False,0.01,64,128,6,0.1,5.446379980439351
False,0.01,64,128,6,0.05,5.446379980439351
False,0.01,64,128,6,0.01,5.446379980439351
False,0.01,64,128,3,0.1,5.456727369888145
False,0.01,64,128,3,0.05,5.456727369888145
False,0.01,64,128,3,0.01,5.456727369888145
False,0.01,64,128,1,0.1,5.326425364478321
False,0.01,64,128,1,0.05,5.326425364478321
False,0.01,64,128,1,0.01,5.326425364478321
True,0.05,64,128,6,0.1,4.764193242940197
True,0.05,64,128,6,0.05,5.01258817498472
True,0.05,64,128,6,0.01,5.3500788032527
True,0.05,64,128,3,0.1,4.800897295835079
True,0.05,64,128,3,0.05,5.0221694332238975
True,0.05,64,128,3,0.01,5.360219515355349
True,0.05,64,128,1,0.1,4.853096824465812
True,0.05,64,128,1,0.05,4.980305611827938
True,0.05,64,128,1,0.01,5.231030115361092
False,0.05,64,128,6,0.1,4.9425065459636075
False,0.05,64,128,6,0.05,4.9425065459636075
False,0.05,64,128,6,0.01,5.190161694940978
False,0.05,64,128,3,0.1,4.932537940364954
False,0.05,64,128,3,0.05,4.932537940364954
False,0.05,64,128,3,0.01,5.196341278687851
False,0.05,64,128,1,0.1,4.938234694334496
False,0.05,64,128,1,0.05,4.938234694334496
False,0.05,64,128,1,0.01,5.120051188969775
True,0.1,64,128,6,0.1,4.687270712156041
True,0.1,64,128,6,0.05,4.990732222628786
True,0.1,64,128,6,0.01,5.361349533773343
True,0.1,64,128,3,0.1,4.6933779129706386
True,0.1,64,128,3,0.05,4.994687633680364
True,0.1,64,128,3,0.01,5.37848055473835
True,0.1,64,128,1,0.1,4.804412161362993
True,0.1,64,128,1,0.05,4.978726941210057
True,0.1,64,128,1,0.01,5.243267323379564
False,0.1,64,128,6,0.1,4.684829856091364
False,0.1,64,128,6,0.05,4.684829856091364
False,0.1,64,128,6,0.01,5.1859633861823875
False,0.1,64,128,3,0.1,4.6977605541127305
False,0.1,64,128,3,0.05,4.6977605541127305
False,0.1,64,128,3,0.01,5.192972081577356
False,0.1,64,128,1,0.1,4.7594630476700885
False,0.1,64,128,1,0.05,4.7594630476700885
False,0.1,64,128,1,0.01,5.118161055966147
True,0.01,64,256,6,0.1,4.687495663271252
True,0.01,64,256,6,0.05,4.831470328876882
True,0.01,64,256,6,0.01,5.138869340705753
True,0.01,64,256,3,0.1,4.660929268083637
True,0.01,64,256,3,0.05,4.781826491678924
True,0.01,64,256,3,0.01,5.076396692014022
True,0.01,64,256,1,0.1,4.76298061522584
True,0.01,64,256,1,0.05,4.84050188485401
True,0.01,64,256,1,0.01,4.995972244542456
False,0.01,64,256,6,0.1,5.156317148096003
False,0.01,64,256,6,0.05,5.156317148096003
False,0.01,64,256,6,0.01,5.156317148096003
False,0.01,64,256,3,0.1,5.080354299065191
False,0.01,64,256,3,0.05,5.080354299065191
False,0.01,64,256,3,0.01,5.080354299065191
False,0.01,64,256,1,0.1,5.021243387605182
False,0.01,64,256,1,0.05,5.021243387605182
False,0.01,64,256,1,0.01,5.021243387605182
True,0.05,64,256,6,0.1,4.563578902748966
True,0.05,64,256,6,0.05,4.759856463515884
True,0.05,64,256,6,0.01,5.074790115309028
True,0.05,64,256,3,0.1,4.549249937106097
True,0.05,64,256,3,0.05,4.703696936387464
True,0.05,64,256,3,0.01,5.006364663244405
True,0.05,64,256,1,0.1,4.680411969748545
True,0.05,64,256,1,0.05,4.7807216536117085
True,0.05,64,256,1,0.01,4.954159328847142
False,0.05,64,256,6,0.1,4.682277026570606
False,0.05,64,256,6,0.05,4.682277026570606
False,0.05,64,256,6,0.01,4.909004482888079
False,0.05,64,256,3,0.1,4.6331820279044935
False,0.05,64,256,3,0.05,4.6331820279044935
False,0.05,64,256,3,0.01,4.831587387509343
False,0.05,64,256,1,0.1,4.652388224177956
False,0.05,64,256,1,0.05,4.652388224177956
False,0.05,64,256,1,0.01,4.8142682837728685
True,0.1,64,256,6,0.1,4.491971224268599
True,0.1,64,256,6,0.05,4.739179397236864
True,0.1,64,256,6,0.01,5.083085860874136
True,0.1,64,256,3,0.1,4.4545480118841025
True,0.1,64,256,3,0.05,4.680887562210623
True,0.1,64,256,3,0.01,5.015875289423856
True,0.1,64,256,1,0.1,4.62004985966395
True,0.1,64,256,1,0.05,4.769238591120064
True,0.1,64,256,1,0.01,4.962422795885464
False,0.1,64,256,6,0.1,4.483716852106316
False,0.1,64,256,6,0.05,4.483716852106316
False,0.1,64,256,6,0.01,4.907666927394547
False,0.1,64,256,3,0.1,4.470692790169535
False,0.1,64,256,3,0.05,4.470692790169535
False,0.1,64,256,3,0.01,4.834630171951853
False,0.1,64,256,1,0.1,4.497309541020651
False,0.1,64,256,1,0.05,4.497309541020651
False,0.1,64,256,1,0.01,4.814597631552858
True,0.01,64,512,6,0.1,4.600595731480363
True,0.01,64,512,6,0.05,4.745268760370571
