replace_type,top_fraction,embedding_dim,hidden_dim,context_window,replace_frac,loss
True,0.01,64,128,115,0.1,6.09726136415031
True,0.01,64,128,115,0.05,6.2262024477035665
True,0.01,64,128,115,0.01,6.366663263375227
False,0.01,64,128,115,0.1,6.511855969518192
False,0.01,64,128,115,0.05,6.511855969518192
False,0.01,64,128,115,0.01,6.511855969518192
True,0.05,64,128,115,0.1,5.984998815558819
True,0.05,64,128,115,0.05,6.156836358940539
True,0.05,64,128,115,0.01,6.353816305985665
False,0.05,64,128,115,0.1,6.289435523150201
False,0.05,64,128,115,0.05,6.289435523150201
False,0.05,64,128,115,0.01,6.289435523150201
True,0.1,64,128,115,0.1,5.960889767002953
True,0.1,64,128,115,0.05,6.1476287969041525
True,0.1,64,128,115,0.01,6.352906022355705
False,0.1,64,128,115,0.1,6.1832601857460885
False,0.1,64,128,115,0.05,6.1832601857460885
False,0.1,64,128,115,0.01,6.22305805168334
True,0.01,64,256,115,0.1,6.121730587640726
True,0.01,64,256,115,0.05,6.230526177387989
True,0.01,64,256,115,0.01,6.367408422109428
False,0.01,64,256,115,0.1,6.478917532268587
False,0.01,64,256,115,0.05,6.478917532268587
False,0.01,64,256,115,0.01,6.478917532268587
True,0.05,64,256,115,0.1,6.001581098130214
True,0.05,64,256,115,0.05,6.158043709669037
True,0.05,64,256,115,0.01,6.343339948239413
False,0.05,64,256,115,0.1,6.249274132858498
False,0.05,64,256,115,0.05,6.249274132858498
False,0.05,64,256,115,0.01,6.249274132858498
True,0.1,64,256,115,0.1,5.976039044121979
True,0.1,64,256,115,0.05,6.158193932425801
True,0.1,64,256,115,0.01,6.3505528044532875
False,0.1,64,256,115,0.1,6.16588303435362
False,0.1,64,256,115,0.05,6.16588303435362
False,0.1,64,256,115,0.01,6.193160572878049
True,0.01,64,512,115,0.1,6.173707812332454
True,0.01,64,512,115,0.05,6.27825952117718
True,0.01,64,512,115,0.01,6.386410339093053
False,0.01,64,512,115,0.1,6.50566536581202
False,0.01,64,512,115,0.05,6.50566536581202
False,0.01,64,512,115,0.01,6.50566536581202
True,0.05,64,512,115,0.1,6.047911416401748
True,0.05,64,512,115,0.05,6.206768042963613
True,0.05,64,512,115,0.01,6.3714348533777505
False,0.05,64,512,115,0.1,6.297604307179759
False,0.05,64,512,115,0.05,6.297604307179759
False,0.05,64,512,115,0.01,6.297604307179759
True,0.1,64,512,115,0.1,6.039136232642617
True,0.1,64,512,115,0.05,6.2056046225118875
True,0.1,64,512,115,0.01,6.3818835335526005
False,0.1,64,512,115,0.1,6.214813026014364
False,0.1,64,512,115,0.05,6.214813026014364
False,0.1,64,512,115,0.01,6.239860586052557
True,0.01,128,128,115,0.1,6.123231842673345
True,0.01,128,128,115,0.05,6.246395431385887
True,0.01,128,128,115,0.01,6.364030114665102
False,0.01,128,128,115,0.1,6.436713551889164
False,0.01,128,128,115,0.05,6.436713551889164
False,0.01,128,128,115,0.01,6.436713551889164
True,0.05,128,128,115,0.1,5.99043498961074
True,0.05,128,128,115,0.05,6.176022954237613
True,0.05,128,128,115,0.01,6.338931618332711
False,0.05,128,128,115,0.1,6.227813328469753
False,0.05,128,128,115,0.05,6.227813328469753
False,0.05,128,128,115,0.01,6.227813328469753
True,0.1,128,128,115,0.1,5.99708538860955
True,0.1,128,128,115,0.05,6.1625185035415475
True,0.1,128,128,115,0.01,6.343598432552366
False,0.1,128,128,115,0.1,6.156187238453698
False,0.1,128,128,115,0.05,6.156187238453698
False,0.1,128,128,115,0.01,6.182623625349205
True,0.01,128,256,115,0.1,6.140001453879989
True,0.01,128,256,115,0.05,6.255810550080453
True,0.01,128,256,115,0.01,6.376216077469071
False,0.01,128,256,115,0.1,6.459214019712811
False,0.01,128,256,115,0.05,6.459214019712811
False,0.01,128,256,115,0.01,6.459214019712811
True,0.05,128,256,115,0.1,6.0288048757378085
True,0.05,128,256,115,0.05,6.203838500421693
True,0.05,128,256,115,0.01,6.357232712025343
False,0.05,128,256,115,0.1,6.2394608871044435
False,0.05,128,256,115,0.05,6.2394608871044435
False,0.05,128,256,115,0.01,6.2394608871044435
True,0.1,128,256,115,0.1,6.00409582740631
True,0.1,128,256,115,0.05,6.181509280690632
True,0.1,128,256,115,0.01,6.35984206403898
False,0.1,128,256,115,0.1,6.162469033376896
False,0.1,128,256,115,0.05,6.162469033376896
False,0.1,128,256,115,0.01,6.188420019462329
True,0.01,128,512,115,0.1,6.294969235875978
True,0.01,128,512,115,0.05,6.402550112713978
True,0.01,128,512,115,0.01,6.48008536174744
False,0.01,128,512,115,0.1,6.521162774124694
False,0.01,128,512,115,0.05,6.521162774124694
False,0.01,128,512,115,0.01,6.521162774124694
True,0.05,128,512,115,0.1,6.163757212931831
True,0.05,128,512,115,0.05,6.311426462596429
True,0.05,128,512,115,0.01,6.463753995265768
False,0.05,128,512,115,0.1,6.328429120050466
False,0.05,128,512,115,0.05,6.328429120050466
False,0.05,128,512,115,0.01,6.328429120050466
True,0.1,128,512,115,0.1,6.154271068863644
True,0.1,128,512,115,0.05,6.312109135915646
True,0.1,128,512,115,0.01,6.446119110060418
False,0.1,128,512,115,0.1,6.2492342831716385
False,0.1,128,512,115,0.05,6.2492342831716385
False,0.1,128,512,115,0.01,6.288417815883979
True,0.01,256,128,115,0.1,6.105301495651112
True,0.01,256,128,115,0.05,6.2118066452259715
True,0.01,256,128,115,0.01,6.331866949256713
False,0.01,256,128,115,0.1,6.379687470406927
False,0.01,256,128,115,0.05,6.379687470406927
False,0.01,256,128,115,0.01,6.379687470406927
True,0.05,256,128,115,0.1,5.962650582035164
True,0.05,256,128,115,0.05,6.132832593494741
True,0.05,256,128,115,0.01,6.314509763158262
False,0.05,256,128,115,0.1,6.195171144404886
False,0.05,256,128,115,0.05,6.195171144404886
False,0.05,256,128,115,0.01,6.195171144404886
True,0.1,256,128,115,0.1,5.928682286420107
True,0.1,256,128,115,0.05,6.08476637411985
True,0.1,256,128,115,0.01,6.279147239463389
False,0.1,256,128,115,0.1,6.11344927047641
False,0.1,256,128,115,0.05,6.11344927047641
False,0.1,256,128,115,0.01,6.1391257014407925
True,0.01,256,256,115,0.1,6.1650450700467365
True,0.01,256,256,115,0.05,6.268016228313056
True,0.01,256,256,115,0.01,6.382131325455883
False,0.01,256,256,115,0.1,6.402165482035615
False,0.01,256,256,115,0.05,6.402165482035615
False,0.01,256,256,115,0.01,6.402165482035615
True,0.05,256,256,115,0.1,6.056361863661019
True,0.05,256,256,115,0.05,6.20421552818006
True,0.05,256,256,115,0.01,6.352255163380139
False,0.05,256,256,115,0.1,6.226255972887519
False,0.05,256,256,115,0.05,6.226255972887519
False,0.05,256,256,115,0.01,6.226255972887519
True,0.1,256,256,115,0.1,6.006929201257724
True,0.1,256,256,115,0.05,6.187665869989674
True,0.1,256,256,115,0.01,6.353570565641619
False,0.1,256,256,115,0.1,6.151707513259966
False,0.1,256,256,115,0.05,6.151707513259966
False,0.1,256,256,115,0.01,6.185530696381612
True,0.01,256,512,115,0.1,6.31191607310106
True,0.01,256,512,115,0.05,6.402563696306363
True,0.01,256,512,115,0.01,6.5047486793599
False,0.01,256,512,115,0.1,6.5411580564208185
False,0.01,256,512,115,0.05,6.5411580564208185
False,0.01,256,512,115,0.01,6.5411580564208185
True,0.05,256,512,115,0.1,6.191961328224793
True,0.05,256,512,115,0.05,6.3521085500778005
True,0.05,256,512,115,0.01,6.4652401493657
False,0.05,256,512,115,0.1,6.369387305494273
False,0.05,256,512,115,0.05,6.369387305494273
False,0.05,256,512,115,0.01,6.369387305494273
True,0.1,256,512,115,0.1,6.134404752879497
True,0.1,256,512,115,0.05,6.333534712553468
True,0.1,256,512,115,0.01,6.485066770164415
False,0.1,256,512,115,0.1,6.308635161180361
False,0.1,256,512,115,0.05,6.308635161180361
False,0.1,256,512,115,0.01,6.328721755384716
True,0.01,64,128,57,0.1,6.108811401216163
True,0.01,64,128,57,0.05,6.232658491885248
True,0.01,64,128,57,0.01,6.3709992124920385
False,0.01,64,128,57,0.1,6.502222043808844
False,0.01,64,128,57,0.05,6.502222043808844
False,0.01,64,128,57,0.01,6.502222043808844
True,0.05,64,128,57,0.1,6.006470459853254
True,0.05,64,128,57,0.05,6.177945992500834
True,0.05,64,128,57,0.01,6.354662617976178
False,0.05,64,128,57,0.1,6.282201635307803
False,0.05,64,128,57,0.05,6.282201635307803
False,0.05,64,128,57,0.01,6.282201635307803
True,0.1,64,128,57,0.1,5.9741946233226715
True,0.1,64,128,57,0.05,6.1596136797852505
True,0.1,64,128,57,0.01,6.354300215095581
False,0.1,64,128,57,0.1,6.194747634905913
False,0.1,64,128,57,0.05,6.194747634905913
False,0.1,64,128,57,0.01,6.22505458676938
True,0.01,64,256,57,0.1,6.126708716778805
True,0.01,64,256,57,0.05,6.239234637581364
True,0.01,64,256,57,0.01,6.364044035786089
False,0.01,64,256,57,0.1,6.485489504913823
False,0.01,64,256,57,0.05,6.485489504913823
False,0.01,64,256,57,0.01,6.485489504913823
True,0.05,64,256,57,0.1,6.022250028136504
True,0.05,64,256,57,0.05,6.1867206610060475
True,0.05,64,256,57,0.01,6.349426162955164
False,0.05,64,256,57,0.1,6.267095243095122
False,0.05,64,256,57,0.05,6.267095243095122
False,0.05,64,256,57,0.01,6.267095243095122
True,0.1,64,256,57,0.1,5.984417330105764
True,0.1,64,256,57,0.05,6.16270354688374
True,0.1,64,256,57,0.01,6.343462279977089
False,0.1,64,256,57,0.1,6.182580835267938
False,0.1,64,256,57,0.05,6.182580835267938
False,0.1,64,256,57,0.01,6.206660271959888
True,0.01,64,512,57,0.1,6.174944157944763
True,0.01,64,512,57,0.05,6.281178208881286
True,0.01,64,512,57,0.01,6.397307894640218
False,0.01,64,512,57,0.1,6.510161813768851
False,0.01,64,512,57,0.05,6.510161813768851
False,0.01,64,512,57,0.01,6.510161813768851
True,0.05,64,512,57,0.1,6.05837775477909
True,0.05,64,512,57,0.05,6.210986782670008
True,0.05,64,512,57,0.01,6.381640135101144
False,0.05,64,512,57,0.1,6.301896025708517
False,0.05,64,512,57,0.05,6.301896025708517
False,0.05,64,512,57,0.01,6.301896025708517
True,0.1,64,512,57,0.1,6.034083758366668
True,0.1,64,512,57,0.05,6.201313136569662
True,0.1,64,512,57,0.01,6.377879034620661
False,0.1,64,512,57,0.1,6.208827980304059
False,0.1,64,512,57,0.05,6.208827980304059
False,0.1,64,512,57,0.01,6.236441255002559
True,0.01,128,128,57,0.1,6.079209405452579
True,0.01,128,128,57,0.05,6.1948469928306045
True,0.01,128,128,57,0.01,6.313288767527014
False,0.01,128,128,57,0.1,6.408710419173437
False,0.01,128,128,57,0.05,6.408710419173437
False,0.01,128,128,57,0.01,6.408710419173437
True,0.05,128,128,57,0.1,5.966858107194243
True,0.05,128,128,57,0.05,6.133043275538799
True,0.05,128,128,57,0.01,6.300507633290859
False,0.05,128,128,57,0.1,6.1909140277293915
False,0.05,128,128,57,0.05,6.1909140277293915
False,0.05,128,128,57,0.01,6.1909140277293915
True,0.1,128,128,57,0.1,5.931609541965424
True,0.1,128,128,57,0.05,6.119833024434406
True,0.1,128,128,57,0.01,6.292846070286448
False,0.1,128,128,57,0.1,6.1148157531036285
False,0.1,128,128,57,0.05,6.1148157531036285
False,0.1,128,128,57,0.01,6.139395231528068
True,0.01,128,256,57,0.1,6.096087657828618
True,0.01,128,256,57,0.05,6.2037226253939375
True,0.01,128,256,57,0.01,6.3042099798404925
