replace_type,top_fraction,embedding_dim,hidden_dim,context_window,replace_frac,loss
True,0.01,64,128,5,0.1,4.443245609340487
True,0.01,64,128,5,0.05,4.591826919392893
True,0.01,64,128,5,0.01,4.867266433765904
True,0.01,64,128,2,0.1,4.480014856847684
True,0.01,64,128,2,0.05,4.579128776998263
True,0.01,64,128,2,0.01,4.826123368731387
False,0.01,64,128,5,0.1,4.969317451869372
False,0.01,64,128,5,0.05,4.969317451869372
False,0.01,64,128,5,0.01,4.969317451869372
False,0.01,64,128,2,0.1,4.928138942287231
False,0.01,64,128,2,0.05,4.928138942287231
False,0.01,64,128,2,0.01,4.928138942287231
True,0.05,64,128,5,0.1,4.281857861470863
True,0.05,64,128,5,0.05,4.489363767733807
True,0.05,64,128,5,0.01,4.829709683257589
True,0.05,64,128,2,0.1,4.316105362449051
True,0.05,64,128,2,0.05,4.513636799818578
True,0.05,64,128,2,0.01,4.793824352720721
False,0.05,64,128,5,0.1,4.449338327264543
False,0.05,64,128,5,0.05,4.449338327264543
False,0.05,64,128,5,0.01,4.690622323277569
False,0.05,64,128,2,0.1,4.499106236742327
False,0.05,64,128,2,0.05,4.499106236742327
False,0.05,64,128,2,0.01,4.704219434489133
True,0.1,64,128,5,0.1,4.29060254403051
True,0.1,64,128,5,0.05,4.4333550410058535
True,0.1,64,128,5,0.01,4.807711376055238
True,0.1,64,128,2,0.1,4.334251598925768
True,0.1,64,128,2,0.05,4.467717558515063
True,0.1,64,128,2,0.01,4.792694361865477
False,0.1,64,128,5,0.1,4.255843729280713
False,0.1,64,128,5,0.05,4.255843729280713
False,0.1,64,128,5,0.01,4.677591914247197
False,0.1,64,128,2,0.1,4.311542529941562
False,0.1,64,128,2,0.05,4.311542529941562
False,0.1,64,128,2,0.01,4.680694454521441
True,0.01,64,256,5,0.1,4.236388292910842
True,0.01,64,256,5,0.05,4.3354044000568575
True,0.01,64,256,5,0.01,4.557939427512828
True,0.01,64,256,2,0.1,4.228347961960006
True,0.01,64,256,2,0.05,4.311044827418811
True,0.01,64,256,2,0.01,4.499306701205231
False,0.01,64,256,5,0.1,4.621206391909799
False,0.01,64,256,5,0.05,4.621206391909799
False,0.01,64,256,5,0.01,4.621206391909799
False,0.01,64,256,2,0.1,4.568120123781834
False,0.01,64,256,2,0.05,4.568120123781834
False,0.01,64,256,2,0.01,4.568120123781834
True,0.05,64,256,5,0.1,4.0702974551094435
True,0.05,64,256,5,0.05,4.216027317387965
True,0.05,64,256,5,0.01,4.506723862160391
True,0.05,64,256,2,0.1,4.076314136635901
