replace_type,top_fraction,embedding_dim,hidden_dim,context_window,replace_frac,loss
True,0.01,64,64,6,0.1,4.986657639967579
True,0.01,64,64,6,0.05,5.061501948814082
True,0.01,64,64,6,0.01,5.231185201983834
True,0.01,64,64,3,0.1,5.153081585444363
True,0.01,64,64,3,0.05,5.162009280179297
True,0.01,64,64,3,0.01,5.346517088798142
True,0.01,64,64,1,0.1,4.970771020851623
True,0.01,64,64,1,0.05,5.079145265927021
True,0.01,64,64,1,0.01,5.306076075280308
False,0.01,64,64,6,0.1,5.284330169221389
False,0.01,64,64,6,0.05,5.284330169221389
False,0.01,64,64,6,0.01,5.284330169221389
False,0.01,64,64,3,0.1,5.3777663954182096
False,0.01,64,64,3,0.05,5.3777663954182096
False,0.01,64,64,3,0.01,5.3777663954182096
False,0.01,64,64,1,0.1,5.340647952758753
False,0.01,64,64,1,0.05,5.340647952758753
False,0.01,64,64,1,0.01,5.340647952758753
True,0.05,64,64,6,0.1,4.717844784744387
True,0.05,64,64,6,0.05,4.915992731832046
True,0.05,64,64,6,0.01,5.173741563271978
True,0.05,64,64,3,0.1,4.858660183994059
True,0.05,64,64,3,0.05,5.005369107205416
True,0.05,64,64,3,0.01,5.253737410878747
True,0.05,64,64,1,0.1,4.817455011516221
True,0.05,64,64,1,0.05,5.0059881736454095
True,0.05,64,64,1,0.01,5.216116251707354
False,0.05,64,64,6,0.1,4.910199348657943
False,0.05,64,64,6,0.05,4.910199348657943
False,0.05,64,64,6,0.01,5.027624983128494
False,0.05,64,64,3,0.1,5.002342401342802
False,0.05,64,64,3,0.05,5.002342401342802
False,0.05,64,64,3,0.01,5.120768267933915
False,0.05,64,64,1,0.1,5.035118637461557
False,0.05,64,64,1,0.05,5.035118637461557
False,0.05,64,64,1,0.01,5.1408762837674695
True,0.1,64,64,6,0.1,4.6799716999306495
True,0.1,64,64,6,0.05,4.890815086342593
True,0.1,64,64,6,0.01,5.1795656628448095
True,0.1,64,64,3,0.1,4.82579996804604
True,0.1,64,64,3,0.05,4.979737275153503
True,0.1,64,64,3,0.01,5.2580421411201925
True,0.1,64,64,1,0.1,4.811591224249509
True,0.1,64,64,1,0.05,4.974757839163006
True,0.1,64,64,1,0.01,5.2359346900390555
False,0.1,64,64,6,0.1,4.7052078451982915
