,over_sampling,under_sampling,accuracy,true_accuracy,false_accuracy,loss
0,0.0,0.0,0.14324817518248176,0.19576185671039353,0.8857142857142857,0.09075633436441422
1,0.0,0.25,0.09580291970802919,0.0,1.0,0.13068169355392456
2,0.0,0.5,0.09580291970802919,0.0,1.0,0.12406576424837112
3,0.0,1.0,0.1332116788321168,0.18365287588294651,0.9047619047619048,0.09126418083906174
4,0.25,0.0,0.1906934306569343,0.2805247225025227,0.8666666666666667,0.09909240156412125
5,0.25,0.25,0.09580291970802919,0.0,1.0,0.132688507437706
6,0.25,0.5,0.09580291970802919,0.0,1.0,0.12019487470388412
7,0.25,1.0,0.1897810218978102,0.3057517658930373,0.819047619047619,0.09766009449958801
8,0.5,0.0,0.21076642335766424,0.46316851664984865,0.6571428571428571,0.10166378319263458
9,0.5,0.25,0.11496350364963503,0.15640766902119072,0.819047619047619,0.10975614190101624
10,0.5,0.5,0.10036496350364964,0.12008072653884964,0.8857142857142857,0.11088700592517853
11,0.5,1.0,0.20894160583941607,0.4046417759838547,0.7904761904761904,0.09966372698545456
12,1.0,0.0,0.30656934306569344,0.6881937436932392,0.6095238095238096,0.08821092545986176
13,1.0,0.25,0.12226277372262774,0.18365287588294651,0.8476190476190476,0.1061677560210228
14,1.0,0.5,0.1332116788321168,0.19071644803229063,0.8285714285714286,0.10288184881210327
15,1.0,1.0,0.3156934306569343,0.6740665993945509,0.6476190476190476,0.08759530633687973
