,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_confusion_matrix,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step
0,0.6706329584121704,0.6296296296296297,0.9932885906040269,0.6244725738396625,0.7668393782383419,"[5, 1, 89, 148]",3.0514,79.636,10.159,0.09981167608286252,53
1,0.14747008681297302,0.9465020576131687,0.995575221238938,0.9493670886075949,0.9719222462203023,"[5, 1, 12, 225]",3.0733,79.069,10.087,0.19962335216572505,106
2,0.1428098827600479,0.9670781893004116,1.0,0.9662447257383966,0.9828326180257511,"[6, 0, 8, 229]",3.5796,67.886,8.66,0.2994350282485876,159
3,0.154386967420578,0.9711934156378601,1.0,0.9704641350210971,0.9850107066381156,"[6, 0, 7, 230]",4.6822,51.899,6.621,0.3992467043314501,212
4,0.1672910898923874,0.9711934156378601,1.0,0.9704641350210971,0.9850107066381156,"[6, 0, 7, 230]",4.7789,50.848,6.487,0.4990583804143126,265
5,0.21499310433864594,0.9629629629629629,1.0,0.9620253164556962,0.9806451612903225,"[6, 0, 9, 228]",4.7807,50.829,6.484,0.5988700564971752,318
6,0.22331184148788452,0.9670781893004116,1.0,0.9662447257383966,0.9828326180257511,"[6, 0, 8, 229]",4.3625,55.702,7.106,0.6986817325800376,371
7,0.17226696014404297,0.9753086419753086,1.0,0.9746835443037974,0.9871794871794872,"[6, 0, 6, 231]",4.4747,54.306,6.928,0.7984934086629002,424
8,0.18906372785568237,0.9753086419753086,1.0,0.9746835443037974,0.9871794871794872,"[6, 0, 6, 231]",4.985,48.746,6.219,0.8983050847457628,477
9,0.17685715854167938,0.9753086419753086,1.0,0.9746835443037974,0.9871794871794872,"[6, 0, 6, 231]",4.4901,54.119,6.904,0.9981167608286252,530
